iter	Passed	Remaining
0	1	1253
1	2	1340
2	3	1313
3	5	1338
4	6	1276
5	7	1235
6	8	1202
7	9	1165
8	10	1126
9	11	1149
10	12	1147
11	13	1149
12	14	1137
13	16	1133
14	17	1140
15	19	1220
16	21	1218
17	22	1201
18	23	1199
19	24	1193
20	25	1194
21	27	1201
22	28	1195
23	29	1205
24	30	1203
25	31	1195
26	32	1187
27	33	1172
28	34	1159
29	35	1155
30	36	1142
31	37	1135
32	38	1126
33	39	1117
34	40	1109
35	41	1110
36	42	1103
37	43	1103
38	44	1097
39	45	1092
40	46	1095
41	47	1091
42	49	1094
43	50	1092
44	51	1085
45	52	1088
46	53	1092
47	55	1097
48	56	1096
49	57	1094
50	58	1090
51	60	1096
52	61	1092
53	62	1090
54	63	1086
55	64	1084
56	65	1084
57	66	1077
58	67	1072
59	68	1069
60	69	1066
61	70	1060
62	71	1058
63	72	1053
64	73	1054
65	74	1061
66	76	1060
67	77	1057
68	78	1055
69	79	1050
70	80	1047
71	81	1051
72	82	1048
73	83	1050
74	85	1049
75	86	1054
76	87	1051
77	88	1050
78	90	1054
79	91	1053
80	92	1054
81	93	1051
82	94	1044
83	96	1047
84	96	1044
85	98	1042
86	99	1042
87	101	1050
88	102	1053
89	104	1052
90	105	1051
91	106	1054
92	107	1052
93	110	1066
94	118	1124
95	119	1122
96	120	1119
97	121	1115
98	121	1109
99	122	1105
100	123	1101
101	125	1102
102	126	1099
103	127	1096
104	128	1095
105	129	1091
106	130	1090
107	131	1086
108	132	1083
109	133	1080
110	134	1075
111	135	1071
112	135	1067
113	137	1065
114	137	1061
115	138	1057
116	139	1052
117	140	1048
118	141	1044
119	141	1040
120	142	1038
121	143	1033
122	144	1030
123	145	1026
124	146	1022
125	146	1018
126	147	1013
127	148	1011
128	149	1008
129	150	1005
130	151	1002
131	152	999
132	152	996
133	153	993
134	154	990
135	155	987
136	156	985
137	158	991
138	159	988
139	160	985
140	161	981
141	161	976
142	162	974
143	163	970
144	164	967
145	164	964
146	165	961
147	166	959
148	167	956
149	168	953
150	169	950
151	169	948
152	170	945
153	171	942
154	172	939
155	173	937
156	174	935
157	175	933
158	176	932
159	177	929
160	177	925
161	178	922
162	179	919
163	179	917
164	180	915
165	181	913
166	182	910
167	183	908
168	184	905
169	185	903
170	185	901
171	186	899
172	187	897
173	188	895
174	189	893
175	190	892
176	191	889
177	192	887
178	193	885
179	193	882
180	194	880
181	195	878
182	196	876
183	197	874
184	197	871
185	198	870
186	199	868
187	200	866
188	201	864
189	202	863
190	203	861
191	204	859
192	205	858
193	206	856
194	206	853
195	207	852
196	208	850
197	209	848
198	210	846
199	211	844
200	211	842
201	212	840
202	213	838
203	214	837
204	215	835
205	216	833
206	217	831
207	217	828
208	218	826
209	219	823
210	219	821
211	220	819
212	221	817
213	221	814
214	222	812
215	223	810
216	223	808
217	224	805
218	225	803
219	226	801
220	227	800
221	227	798
222	228	796
223	229	794
224	230	793
225	231	791
226	232	790
227	233	789
228	233	787
229	234	786
230	235	785
231	236	783
232	237	781
233	237	779
234	238	777
235	239	775
236	240	772
237	240	771
238	241	768
239	242	766
240	242	764
241	243	762
242	244	760
243	245	759
244	245	757
245	246	755
246	247	754
247	248	752
248	249	751
249	249	749
250	250	747
251	251	745
252	251	743
253	252	741
254	253	739
255	253	737
256	254	735
257	255	733
258	255	732
259	256	730
260	257	729
261	258	727
262	258	725
263	259	724
264	260	722
265	261	720
266	261	719
267	262	717
268	263	715
269	264	714
270	264	712
271	265	710
272	266	708
273	266	707
274	267	705
275	268	703
276	268	701
277	269	700
278	270	698
279	271	697
280	272	696
281	272	694
282	273	692
283	274	691
284	275	690
285	275	688
286	276	686
287	277	685
288	277	683
289	278	682
290	279	680
291	280	679
292	280	677
293	281	676
294	282	674
295	283	673
296	283	671
297	284	670
298	285	668
299	285	667
300	286	665
301	287	664
302	288	662
303	289	661
304	289	660
305	290	659
306	291	657
307	292	656
308	292	654
309	293	653
310	294	652
311	295	650
312	295	649
313	296	647
314	297	646
315	298	645
316	298	643
317	299	642
318	300	640
319	300	639
320	301	637
321	302	636
322	303	635
323	304	634
324	304	632
325	305	631
326	306	630
327	307	629
328	307	628
329	308	626
330	309	625
331	310	623
332	310	622
333	311	620
334	312	619
335	312	618
336	313	616
337	314	615
338	314	613
339	315	612
340	316	611
341	316	609
342	317	608
343	318	607
344	319	606
345	320	605
346	320	603
347	321	602
348	322	601
349	323	599
350	323	598
351	324	597
352	325	595
353	325	594
354	326	593
355	327	591
356	328	590
357	328	589
358	329	588
359	330	587
360	331	585
361	331	584
362	332	583
363	333	582
364	334	581
365	335	580
366	336	579
367	336	578
368	337	577
369	338	575
370	338	574
371	339	573
372	340	572
373	340	570
374	341	569
375	342	568
376	343	566
377	343	565
378	344	564
379	345	562
380	345	561
381	346	560
382	347	559
383	348	558
384	348	557
385	349	556
386	350	555
387	351	553
388	352	552
389	352	552
390	353	550
391	354	549
392	355	548
393	355	547
394	356	545
395	356	544
396	357	543
397	358	542
398	359	541
399	360	540
400	360	539
401	361	537
402	362	536
403	363	535
404	363	534
405	364	533
406	365	532
407	366	531
408	366	529
409	367	528
410	368	527
411	368	526
412	369	525
413	370	524
414	371	523
415	372	522
416	373	521
417	373	520
418	374	519
419	375	517
420	375	516
421	376	515
422	377	514
423	378	514
424	379	513
425	380	512
426	380	510
427	381	509
428	382	508
429	383	507
430	383	506
431	384	505
432	385	504
433	385	503
434	386	502
435	387	500
436	387	499
437	388	498
