iter	Passed	Remaining
0	1	143
1	2	129
2	3	120
3	4	112
4	5	108
5	6	105
6	7	102
7	8	99
8	9	98
9	10	98
10	12	102
11	14	104
12	15	104
13	17	104
14	18	104
15	19	102
16	21	105
17	22	104
18	24	104
19	26	104
20	27	104
21	29	103
22	31	104
23	32	103
24	33	101
25	35	99
26	36	98
27	37	97
28	39	95
29	40	94
30	41	92
31	43	91
32	44	90
33	45	88
34	47	87
35	48	86
36	49	85
37	51	83
38	52	81
39	53	79
40	54	78
41	55	76
42	56	74
43	57	73
44	58	71
45	59	70
46	61	68
47	62	67
48	63	66
49	65	65
50	66	63
51	67	62
52	68	60
53	69	59
54	70	57
55	72	56
56	73	55
57	74	53
58	75	52
59	76	51
60	77	49
61	79	48
62	80	47
63	81	45
64	82	44
65	84	43
66	85	41
67	86	40
68	87	39
69	88	38
70	90	36
71	91	35
72	92	34
73	93	33
74	95	31
75	96	30
76	98	29
77	99	27
78	100	26
79	101	25
80	103	24
81	104	22
82	105	21
83	106	20
84	108	19
85	109	17
86	110	16
87	111	15
88	112	13
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	119	6
95	121	5
96	122	3
97	123	2
98	124	1
99	126	0
